medium_multiplier,high_multiplier,balanced_accuracy
1.12,1.97,0.9712783069251678
1.14,2.01,0.9712783069251678
0.9,2.15,0.9712778025646295
0.98,1.71,0.9712776135593199
1.14,2.15,0.9712775786037907
0.84,1.55,0.9712770438869162
0.96,2.33,0.9712769689882911
0.9,2.07,0.9712768452948465
1.06,2.03,0.971276477669015
1.06,2.57,0.9712762072444489
1.1,2.59,0.9712761019894879
0.98,1.57,0.9712756990197539
1.12,2.51,0.9712753936396585
0.88,2.07,0.9712751597036862
1.12,2.67,0.9712746653182812
0.9,2.37,0.9712746603307146
0.88,1.55,0.9712744728584694
1.06,2.41,0.9712742927048831
1.12,1.99,0.9712739784730643
1.06,2.01,0.971273834808072
0.98,1.55,0.9712730561588107
0.82,1.97,0.971272622097704
0.84,2.01,0.9712724450102467
1.06,1.85,0.971271920268506
0.82,1.91,0.971271664827921
1.0,2.25,0.9712712238365288
0.86,1.93,0.971271133565549
1.0,2.39,0.9712704955151515
0.78,1.27,0.9712704282818486
1.08,2.43,0.9712700360852757
0.96,2.59,0.9712694983022726
0.82,1.31,0.9712690634431382
0.82,1.89,0.9712690219669776
0.8,2.11,0.9712684507615098
1.14,2.57,0.9712684223266118
1.0,2.69,0.9712683105510195
0.94,1.51,0.9712678756918852
0.78,1.25,0.9712677854209053
1.08,1.85,0.9712676636488986
1.02,2.29,0.971266718296968
0.96,1.57,0.9712664390206784
1.0,1.89,0.9712664374876141
1.16,2.13,0.9712661735836791
0.82,1.55,0.9712659212092233
0.82,1.39,0.9712656922608177
1.06,1.73,0.9712656772768363
0.88,1.43,0.9712655870058566
1.1,2.47,0.9712655305457149
0.96,2.17,0.971265440274735
0.94,1.49,0.9712652328309419
1.0,2.33,0.9712652097932649
1.08,1.83,0.9712650207879553
0.88,1.53,0.9712648586844792
1.1,2.63,0.9712648022243376
0.9,2.03,0.9712645882599132
0.84,1.61,0.9712640585306055
1.1,2.53,0.9712638449545546
0.82,1.85,0.9712637362450912
0.8,1.85,0.971263664412595
0.94,1.83,0.97126304786681
1.06,2.45,0.9712629929397326
1.1,2.03,0.9712624297879603
0.84,1.91,0.9712618735664735
0.98,2.27,0.9712617149174999
1.02,2.45,0.9712616615234871
0.82,1.57,0.9712615927571197
0.84,1.59,0.9712614156696624
1.08,2.49,0.9712613791810686
0.98,1.51,0.9712607991238773
0.92,1.79,0.9712605820933239
0.94,1.81,0.9712604050058666
1.04,2.37,0.9712603500787894
0.9,2.05,0.9712602598078096
0.94,1.45,0.9712599471090554
1.04,1.97,0.9712598921819783
1.12,2.57,0.9712597654224046
1.14,2.63,0.9712597654224046
0.86,2.07,0.9712591054790214
1.16,2.73,0.9712589318460663
0.88,2.05,0.9712585742166494
0.8,1.81,0.9712583786907084
1.02,1.63,0.9712581028689212
1.02,2.35,0.9712580613927608
0.9,1.57,0.9712578873714324
0.82,1.43,0.9712570353566105
1.12,2.11,0.9712566646646502
0.88,2.03,0.9712559313557061
1.0,2.31,0.9712555956192749
0.92,1.75,0.9712552963714374
0.88,2.37,0.9712547036613571
1.08,1.73,0.9712544493441824
0.82,1.99,0.9712543510195069
0.8,1.27,0.9712540917147653
1.08,2.07,0.9712539499712106
