medium_multiplier,high_multiplier,balanced_accuracy
1.125,2.175,0.9710439620194866
0.975,1.725,0.9710419572089407
1.125,2.2,0.9710396335673831
1.075,1.775,0.9710394580129901
0.825,1.975,0.9710380482436172
1.175,2.05,0.9710373648529025
1.225,2.025,0.971036230495662
0.85,1.525,0.9710359247271935
0.875,2.125,0.9710345718063355
0.8,2.0,0.9710342510538855
0.875,1.575,0.9710338849611185
1.15,2.25,0.9710326622543363
1.2,2.15,0.9710311737221812
1.0,1.75,0.971030303268876
0.825,2.025,0.9710293913394099
1.0,1.8,0.9710286176777155
0.825,2.0,0.9710267484784666
1.075,1.9,0.9710247870655192
0.9,1.575,0.971024519707082
0.975,1.75,0.9710236861307436
1.2,1.975,0.9710222878695686
1.175,2.075,0.9710190937747053
1.025,1.675,0.9710150491980846
1.15,1.9,0.9710148905491107
1.125,1.85,0.9710148905491107
1.025,1.85,0.9710126352855469
1.225,2.0,0.9710057023825316
1.225,2.2,0.9710032884699938
1.25,2.25,0.970996743164358
1.1,1.925,0.9709946849597997
1.1,1.975,0.9709929993686393
0.8,1.4,0.970992464651765
1.2,2.1,0.9709910314350606
1.225,2.15,0.9709910314350606
0.9,1.4,0.9709824628803956
1.125,2.025,0.9709819485234426
0.975,1.525,0.9709763435821707
1.15,2.075,0.9709749772103958
0.85,1.325,0.9709746395525268
0.875,1.375,0.9709725997864519
1.025,1.6,0.9709722640500207
1.175,1.825,0.9709674227740287
1.0,1.575,0.9709673325030489
1.05,1.65,0.970963252970899
0.925,1.45,0.9709619749486661
1.075,1.675,0.9709591734387489
0.95,1.5,0.9709529638695443
0.95,1.55,0.9709512782783841
1.25,1.95,0.970949400615785
0.875,1.35,0.9709490429863682
0.9,1.425,0.9709476063151614
0.825,1.3,0.9709438625194426
0.8,1.25,0.9709434365120316
1.2,1.875,0.9709420032953274
1.225,1.925,0.9709420032953274
1.125,1.75,0.9709415772879164
0.85,1.35,0.9709397829872928
1.1,1.725,0.9709386855070196
0.925,1.425,0.9709384181485824
1.025,1.625,0.9709374074847865
1.15,1.8,0.9709346059748696
0.975,1.55,0.9709345157038897
1.175,1.85,0.9709325662087945
1.075,1.7,0.9709312881865616
1.25,1.975,0.9709284866766447
1.05,1.625,0.9709257535447217
1.0,1.55,0.9709228617638249
1.15,1.875,0.9709189777576156
1.25,1.925,0.9709188725026546
0.95,1.475,0.970915464443367
1.05,1.675,0.9709144537795713
1.2,1.9,0.9709141180431402
1.225,1.95,0.9709141180431402
1.125,1.775,0.9709136920357291
0.825,1.275,0.9709133344063122
0.925,1.475,0.9709131757573384
0.85,1.3,0.970906612013219
1.2,1.85,0.9709045038691501
1.1,1.75,0.9709038289417856
1.15,1.825,0.9708997494096355
1.225,1.9,0.9708975325561032
1.15,1.775,0.9708971065486921
0.875,1.4,0.970895915342937
1.1,1.7,0.9708942147677954
0.875,1.425,0.9708915868908333
1.0,1.6,0.970890648059534
1.225,1.875,0.9708879183821132
0.8,1.275,0.9708876660076573
1.0,1.625,0.9708863196074303
1.175,1.875,0.9708837670174669
1.175,1.8,0.9708784812955803
1.075,1.65,0.9708772032733476
1.025,1.575,0.9708763512585256
0.8,1.225,0.970875408972724
0.975,1.5,0.9708734594776288
1.075,1.75,0.9708642179170369
0.95,1.525,0.9708623367999358
1.125,1.725,0.970859607122515
1.25,2.0,0.9708587735461766
0.9,1.45,0.9708569792455529
1.025,1.65,0.9708537517282249
0.825,1.325,0.9708532354498342
0.8,1.3,0.9708484809903196
1.0,1.525,0.9708478629114702
1.075,1.725,0.9708476324299999
1.2,1.95,0.9708470477736153
1.125,1.8,0.9708439789052611
1.05,1.6,0.9708437833793203
0.95,1.45,0.9708404655910123
0.9,1.375,0.9708351080366295
1.2,1.925,0.9708304622865783
0.975,1.575,0.9708299460081875
1.225,1.975,0.9708234909735315
1.15,1.85,0.9708160936530738
0.85,1.375,0.9708142993524502
1.1,1.675,0.9708122446023939
1.2,1.825,0.970808591077655
1.05,1.7,0.9708029127708223
1.15,1.75,0.9708011937571972
1.1,1.775,0.9707992592460833
0.925,1.5,0.9707946634355425
1.175,1.9,0.9707931399478583
1.25,2.025,0.9707751177896148
0.825,1.25,0.970772950875593
1.125,1.825,0.9707603231486992
1.25,1.9,0.9707366610936544
0.875,1.325,0.9707153895250972
0.975,1.475,0.9707051906947223
1.025,1.55,0.9707011111625724
0.925,1.4,0.9706977933742644
1.075,1.625,0.9706880205513007
1.125,1.7,0.9706634530874213
1.175,1.775,0.9705960286429818
1.0,1.5,0.9705932955110587
1.05,1.575,0.9705892159789086
0.9,1.35,0.9705875119492648
0.85,1.275,0.970586659934443
0.95,1.425,0.9705858981906008
1.225,1.825,0.9705819089294306
1.175,1.75,0.970572471842898
1.25,1.875,0.9705614209977012
1.1,1.65,0.9705576772019824
0.8,1.2,0.970555456893948
1.2,1.8,0.9705540236772435
1.15,1.725,0.9705466263567857
1.225,1.85,0.9705261384250562
1.075,1.6,0.9705197517683942
1.0,1.475,0.9705043540326104
1.05,1.55,0.9705002745004604
0.9,1.325,0.9704985704708166
0.85,1.25,0.9704977184559948
0.95,1.4,0.9704969567121525
1.125,1.675,0.970488212991468
0.875,1.3,0.9704747647507793
1.1,1.625,0.9704617644104875
1.25,1.85,0.9704585368931594
1.2,1.775,0.9704581108857484
0.975,1.45,0.9704575946073576
1.025,1.525,0.9704535150752077
0.825,1.225,0.970452998796817
1.15,1.7,0.9704507135652906
0.925,1.375,0.9704501972868999
1.225,1.8,0.9704066688334775
1.175,1.725,0.9704042030599916
0.8,1.175,0.9703941594240882
0.95,1.325,0.970388786885724
0.875,1.225,0.9703875088634913
1.0,1.4,0.9703822415800883
0.825,1.15,0.9703796855356227
1.075,1.5,0.9703740825157885
1.05,1.475,0.9703711907348915
0.975,1.425,0.9703686531289094
1.025,1.5,0.9703576022837126
0.975,1.375,0.9703563960939761
0.925,1.3,0.970355970086565
1.25,1.75,0.970350367066731
1.2,1.675,0.9703499410593199
0.85,1.2,0.9703477207512855
1.025,1.45,0.9703453452487794
1.175,1.65,0.9703405039727873
1.075,1.575,0.970337540359394
1.225,1.725,0.9703359984332263
1.125,1.575,0.9703355724258155
0.9,1.275,0.9703346301400138
1.0,1.425,0.9703334423887607
0.875,1.25,0.9703317383591168
0.95,1.35,0.9703260450683029
1.1,1.55,0.9703257093318717
1.05,1.425,0.9703240771347241
0.8,1.125,0.9703234890238371
0.975,1.325,0.9703232251199022
1.05,1.5,0.9703223915435638
1.075,1.525,0.9703183120114139
0.9,1.25,0.9703180446529768
0.825,1.175,0.9703169437182013
1.025,1.425,0.9703148171356487
1.125,1.65,0.9703129728955148
1.25,1.775,0.9703085391884501
0.9,1.225,0.9703084304789867
1.15,1.625,0.9703076871736281
1.2,1.7,0.9703011418679922
1.225,1.75,0.9703011418679922
0.975,1.4,0.9703006255896015
1.175,1.675,0.9702986760945064
1.225,1.7,0.9702984990070491
0.925,1.325,0.9702932282691439
0.95,1.3,0.970292874094229
0.875,1.2,0.9702915960719962
1.025,1.4,0.9702912603355651
0.825,1.125,0.9702907440571744
1.025,1.475,0.9702895747444048
1.25,1.7,0.97028931084047
0.925,1.35,0.9702888998170401
1.1,1.525,0.9702882099056943
1.125,1.6,0.9702867732344878
0.85,1.225,0.9702849789338641
1.125,1.525,0.9702814875126012
1.175,1.6,0.9702794477465263
1.0,1.375,0.9702793574755465
1.1,1.575,0.970276910140544
1.225,1.675,0.9702749422069653
0.9,1.3,0.9702718883225924
1.1,1.5,0.9702716244186576
1.15,1.6,0.970270187747451
0.85,1.15,0.9702700790379876
1.25,1.825,0.9702693541711125
1.05,1.45,0.9702683066303498
0.8,1.15,0.9702677185194627
1.2,1.725,0.9702662853027583
0.85,1.175,0.970265750585884
1.075,1.475,0.9702642270981997
1.2,1.75,0.9702619568506546
0.925,1.275,0.97026005729507
1.25,1.8,0.9702597399971223
1.15,1.65,0.9702588879823004
1.0,1.45,0.9702567579452457
0.95,1.375,0.9702563319378347
1.075,1.55,0.9702555701939927
1.15,1.575,0.9702536022604139
0.975,1.35,0.9702535119894341
0.8,1.1,0.9702415188584358
1.25,1.725,0.9702405116491422
1.2,1.65,0.9702400856417314
1.05,1.525,0.9702387357870021
0.875,1.275,0.9702341399764615
1.125,1.55,0.9702326883212735
1.0,1.325,0.9702322438753791
1.225,1.775,0.9702314287375241
1.125,1.625,0.9702310027301132
1.175,1.625,0.9702306485551985
1.175,1.7,0.9702289629640383
0.825,1.2,0.9702263166485928
0.85,1.125,0.9702256082987634
0.85,1.1,0.9702229654378202
0.925,1.225,0.9702199150079492
1.2,1.625,0.9702165288416476
1.075,1.425,0.9702101421849855
0.875,1.175,0.9702096259065948
1.0,1.3,0.9702086870752954
1.1,1.6,0.970207197010076
1.0,1.35,0.9702043586231918
0.975,1.275,0.9702037555283235
0.925,1.2,0.9702033295209125
0.9,1.175,0.9702029035135015
1.25,1.65,0.9702003693620217
1.05,1.4,0.9702002790910419
1.225,1.625,0.9701999433546108
0.975,1.3,0.9701994270762199
0.9,1.2,0.970198575061398
1.175,1.55,0.9701974775811247
0.95,1.275,0.970196961302734
1.025,1.375,0.97019534754407
0.825,1.075,0.9701921884047361
0.925,1.25,0.9701920297557621
0.825,1.1,0.9701878599526325
1.1,1.425,0.9701870113923129
1.075,1.4,0.9701865853849018
1.225,1.6,0.9701833578675738
1.075,1.45,0.9701822569327984
1.15,1.675,0.9701822035387856
1.225,1.65,0.9701790294154703
1.15,1.525,0.9701786034080593
1.25,1.625,0.970176812561938
1.175,1.525,0.9701739207810411
1.25,1.675,0.9701724841098344
1.05,1.375,0.9701697509779114
1.175,1.575,0.9701695923289376
0.875,1.125,0.9701694836194742
1.1,1.475,0.9701687403141156
0.8,1.075,0.9701665200060811
0.875,1.15,0.9701651551673707
1.2,1.6,0.9701650867893766
1.15,1.5,0.9701620179210223
1.05,1.35,0.9701601368039213
1.15,1.55,0.9701576894689188
1.125,1.5,0.9701576894689188
0.95,1.225,0.9701498477025666
0.95,1.25,0.9701455192504631
1.025,1.35,0.9701439054917991
1.025,1.325,0.9701412626308558
1.225,1.575,0.9701388871283497
0.8,1.05,0.9701290205799037
1.2,1.575,0.9701275873631993
1.05,1.325,0.970122637377744
1.125,1.475,0.9701201900427415
0.85,1.075,0.9701200813332783
0.95,1.2,0.9701193195894362
1.1,1.45,0.9701172982618447
1.2,1.55,0.9701110018761625
1.125,1.45,0.9701105758687515
1.0,1.275,0.9701058029707536
1.025,1.3,0.9701037632046784
1.225,1.55,0.9701013877021724
0.925,1.175,0.9701004454163705
0.825,1.05,0.9700962756132409
0.9,1.15,0.9700930480959129
0.975,1.25,0.970086928797688
1.1,1.4,0.9700771559747241
1.2,1.525,0.9700735024499852
1.125,1.425,0.9700730764425742
1.075,1.375,0.9700697586542663
1.0,1.25,0.9700683035445762
1.175,1.5,0.9700640653634524
0.9,1.125,0.9700625199827825
1.25,1.6,0.9700599858313025
0.875,1.1,0.9700596282018855
0.8,1.025,0.9700540217275492
0.975,1.225,0.9700494293715106
1.15,1.475,0.9700451911903869
1.075,1.35,0.9700392305411358
1.1,1.375,0.9700326852355
0.8,1.0,0.9700304649274655
1.2,1.5,0.970029031710761
1.175,1.475,0.9700265659372751
1.25,1.575,0.9700155150920784
1.15,1.45,0.9700007204511628
1.0,1.175,0.9699574908572045
1.05,1.25,0.9699560541859977
0.875,1.05,0.9699514583754572
0.85,1.0,0.9699508552805888
0.9,1.075,0.9699473788433072
1.0,1.2,0.969946191092054
1.025,1.225,0.9699441513259791
0.925,1.15,0.969939147946511
1.025,1.275,0.969935494421772
0.825,1.025,0.9699349781433813
0.975,1.15,0.9699316453710921
0.975,1.175,0.9699203456059419
0.825,0.975,0.9699200782475046
1.0,1.15,0.9699199914310271
1.25,1.55,0.9699196023005833
1.225,1.525,0.9699191762931724
0.85,1.025,0.969918641576298
1.175,1.4,0.9699183961108466
1.25,1.5,0.9699143165786968
0.85,0.975,0.9699133558544116
1.025,1.175,0.9699109803519054
1.15,1.35,0.9699108217029315
1.125,1.325,0.9699108217029315
0.975,1.125,0.9699080885710085
1.0,1.225,0.9699070060747165
1.15,1.375,0.969906493250828
0.95,1.1,0.9699056227975226
1.25,1.475,0.9699047024047066
0.95,1.125,0.9699012943454189
1.1,1.3,0.9699009586089878
1.225,1.475,0.9698999479451921
1.125,1.35,0.9698995219377812
0.875,1.075,0.9698983307320258
1.125,1.4,0.9698978363466209
0.95,1.15,0.9698969658933154
0.825,0.95,0.969896521447421
0.925,1.075,0.9698937199375038
0.875,1.025,0.9698904021491961
1.225,1.45,0.9698903337712022
